ORD-000001,2026/01/02,CUST-1001,LED Desk Lamp,1,40.77,US
ORD-000002,2026/01/03,CUST-1002,LED Desk Lamp,1,64.94,US
ORD-000003,2026/01/04,CUST-1003,LED Desk Lamp,1,24.08,US
ORD-000004,2026/01/05,CUST-1004,LED Desk Lamp,2,39.33,US
ORD-000005,2026/01/06,CUST-1005,LED Desk Lamp,1,40.59,US
ORD-000006,2026/01/07,CUST-1006,LED Desk Lamp,3,30.41,US
ORD-000007,2026/01/08,CUST-1007,Wireless Mouse Silent,2,35.38,US
ORD-000008,2026/01/09,CUST-1008,LED Desk Lamp,2,24.84,US
ORD-000009,2026/01/10,CUST-1009,Leather Wallet Classic,3,78.83,US
ORD-000010,2026/01/11,CUST-1010,LED Desk Lamp,2,21.92,US
ORD-000011,2026/01/12,CUST-1011,Air Purifier Small,3,78.97,US
ORD-000012,2026/01/13,CUST-1012,LED Desk Lamp,2,52.22,US
ORD-000013,2026/01/14,CUST-1013,LED Desk Lamp,1,68.73,US
ORD-000014,2026/01/15,CUST-1014,Stainless Steel Water Bottle,1,76.83,US
ORD-000015,2026/01/16,CUST-1015,LED Desk Lamp,2,28.16,US
ORD-000016,2026/01/17,CUST-1016,LED Desk Lamp,2,89.61,US
ORD-000017,2026/01/18,CUST-1017,LED Desk Lamp,3,54.64,US
ORD-000018,2026/01/19,CUST-1018,LED Desk Lamp,2,44.65,US
ORD-000019,2026/01/20,CUST-1019,Leather Wallet Classic,1,55.14,US
ORD-000020,2026/01/21,CUST-1020,Noise Cancelling Earbuds,1,86.48,US
ORD-000021,2026/01/22,CUST-1021,LED Desk Lamp,1,23.12,US
ORD-000022,2026/01/23,CUST-1022,Mechanical Keyboard RGB,1,70.76,US
ORD-000023,2026/01/24,CUST-1023,LED Desk Lamp,3,31.53,US
ORD-000024,2026/01/25,CUST-1024,Leather Wallet Classic,2,57.06,US
ORD-000025,2026/01/26,CUST-1025,LED Desk Lamp,2,52.08,US
ORD-000026,2026/01/27,CUST-1026,Ergonomic Office Chair,2,72.31,US
ORD-000027,2026/01/28,CUST-1027,Wireless Mouse Silent,2,61.92,US
ORD-000028,2026/01/29,CUST-1028,LED Desk Lamp,2,71.29,US
ORD-000029,2026/01/30,CUST-1029,LED Desk Lamp,2,60.08,US
ORD-000030,2026/01/31,CUST-1030,LED Desk Lamp,1,57.55,US
ORD-000031,2026/02/01,CUST-1031,LED Desk Lamp,3,79.4,US
ORD-000032,2026/02/02,CUST-1032,LED Desk Lamp,2,38.67,US
ORD-000033,2026/02/03,CUST-1033,LED Desk Lamp,3,41.76,US
ORD-000034,2026/02/04,CUST-1034,Stainless Steel Water Bottle,3,78.15,US
ORD-000035,2026/02/05,CUST-1035,LED Desk Lamp,2,72.14,US
ORD-000036,2026/02/06,CUST-1036,LED Desk Lamp,1,63.84,US
ORD-000037,2026/02/07,CUST-1037,LED Desk Lamp,3,61.57,US
ORD-000038,2026/02/08,CUST-1038,LED Desk Lamp,3,42.58,US
ORD-000039,2026/02/09,CUST-1039,LED Desk Lamp,3,46.69,US
ORD-000040,2026/02/10,CUST-1040,LED Desk Lamp,2,22.47,US
ORD-000041,2026/02/11,CUST-1041,LED Desk Lamp,2,88.31,US
ORD-000042,2026/02/12,CUST-1042,Noise Cancelling Earbuds,1,89.22,US
ORD-000043,2026/02/13,CUST-1043,LED Desk Lamp,1,21.82,US
ORD-000044,2026/02/14,CUST-1044,LED Desk Lamp,2,72.63,US
ORD-000045,2026/02/15,CUST-1045,Mechanical Keyboard RGB,1,61.02,US
ORD-000046,2026/02/16,CUST-1046,LED Desk Lamp,3,61.7,US
ORD-000047,2026/02/17,CUST-1047,LED Desk Lamp,1,23.16,US
ORD-000048,2026/02/18,CUST-1048,LED Desk Lamp,2,33.83,US
ORD-000049,2026/02/19,CUST-1049,LED Desk Lamp,2,76.93,US
ORD-000050,2026/02/20,CUST-1050,LED Desk Lamp,2,38.29,US
ORD-000051,2026/02/21,CUST-1051,Standing Desk Converter,1,42.5,US
ORD-000052,2026/02/22,CUST-1052,LED Desk Lamp,1,23.31,US
ORD-000053,2026/02/23,CUST-1053,LED Desk Lamp,3,66.63,US
ORD-000054,2026/02/24,CUST-1054,LED Desk Lamp,1,51.99,US
ORD-000055,2026/02/25,CUST-1055,LED Desk Lamp,3,44.82,US
ORD-000056,2026/02/26,CUST-1056,LED Desk Lamp,3,63.92,US
ORD-000057,2026/02/27,CUST-1057,LED Desk Lamp,3,37.22,US
ORD-000058,2026/02/28,CUST-1058,Yoga Mat Premium,1,43.16,US
ORD-000059,2026/03/01,CUST-1059,Wireless Mouse Silent,2,78.01,US
ORD-000060,2026/03/02,CUST-1060,LED Desk Lamp,2,22.81,US
ORD-000061,2026/03/03,CUST-1061,LED Desk Lamp,1,51.87,US
ORD-000062,2026/03/04,CUST-1062,Mechanical Keyboard RGB,1,72.82,US
ORD-000063,2026/03/05,CUST-1063,LED Desk Lamp,1,66.22,US
ORD-000064,2026/03/06,CUST-1064,LED Desk Lamp,3,20.7,US
ORD-000065,2026/03/07,CUST-1065,LED Desk Lamp,3,63.8,US
ORD-000066,2026/03/08,CUST-1066,LED Desk Lamp,3,20.79,US
ORD-000067,2026/03/09,CUST-1067,LED Desk Lamp,1,49.7,US
ORD-000068,2026/03/10,CUST-1068,External SSD 1TB,3,70.47,US
ORD-000069,2026/03/11,CUST-1069,LED Desk Lamp,1,43.74,US
ORD-000070,2026/03/12,CUST-1070,LED Desk Lamp,2,82.95,US
ORD-000071,2026/03/13,CUST-1071,Noise Cancelling Earbuds,1,44.7,US
ORD-000072,2026/03/14,CUST-1072,LED Desk Lamp,2,69.84,US
ORD-000073,2026/03/15,CUST-1073,LED Desk Lamp,1,36.78,US
ORD-000074,2026/03/16,CUST-1074,Wireless Charger Pad,2,21.15,US
ORD-000075,2026/03/17,CUST-1075,LED Desk Lamp,3,56.0,US
ORD-000076,2026/03/18,CUST-1076,LED Desk Lamp,1,82.28,US
ORD-000077,2026/03/19,CUST-1077,LED Desk Lamp,1,39.04,US
ORD-000078,2026/03/20,CUST-1078,LED Desk Lamp,1,38.49,US
ORD-000079,2026/03/21,CUST-1079,LED Desk Lamp,2,23.31,US
ORD-000080,2026/03/22,CUST-1080,LED Desk Lamp,1,31.21,US
ORD-000081,2026/03/23,CUST-1081,LED Desk Lamp,3,37.55,US
ORD-000082,2026/03/24,CUST-1082,LED Desk Lamp,2,45.55,US
ORD-000083,2026/03/25,CUST-1083,Stainless Steel Water Bottle,3,53.16,US
ORD-000084,2026/03/26,CUST-1084,LED Desk Lamp,2,39.22,US
ORD-000085,2026/03/27,CUST-1085,LED Desk Lamp,1,49.3,US
ORD-000086,2026/03/28,CUST-1086,LED Desk Lamp,3,46.66,US
ORD-000087,2026/03/29,CUST-1087,LED Desk Lamp,2,61.41,US
ORD-000088,2026/03/30,CUST-1088,LED Desk Lamp,1,35.68,US
ORD-000089,2026/03/31,CUST-1089,LED Desk Lamp,3,23.46,US
ORD-000090,2026/04/01,CUST-1090,LED Desk Lamp,2,57.7,US
ORD-000091,2026/04/02,CUST-1091,4K Webcam Pro,2,44.84,US
ORD-000092,2026/04/03,CUST-1092,LED Desk Lamp,1,44.81,US
ORD-000093,2026/04/04,CUST-1093,LED Desk Lamp,2,76.67,US
ORD-000094,2026/04/05,CUST-1094,LED Desk Lamp,2,84.79,US
ORD-000095,2026/04/06,CUST-1095,LED Desk Lamp,2,20.04,US
ORD-000096,2026/04/07,CUST-1096,LED Desk Lamp,1,57.12,US
ORD-000097,2026/04/08,CUST-1097,LED Desk Lamp,1,20.64,US
ORD-000098,2026/04/09,CUST-1098,LED Desk Lamp,2,85.94,US
ORD-000099,2026/04/10,CUST-1099,LED Desk Lamp,3,48.89,US
ORD-000100,2026/04/11,CUST-1100,LED Desk Lamp,2,84.68,US
ORD-000101,2026/04/12,CUST-1101,LED Desk Lamp,1,44.97,US
